epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.8254,0.47636,0.92,1,0.18054,0.000543038,0.000543038,0.000543038
2,70.9553,0.29456,0.90857,1,0.18461,0.00102619,0.00102619,0.00102619
3,108.92,0.31687,0.87429,1,0.52222,0.00143599,0.00143599,0.00143599
4,149.456,0.28515,0.96286,1,0.11122,0.00133693,0.00133693,0.00133693
5,196.758,0.23829,0.89714,1,0.28298,0.00122691,0.00122691,0.00122691
6,238.179,0.23026,0.89429,1,0.28991,0.00111689,0.00111689,0.00111689
7,277.665,0.20468,0.93714,1,0.16532,0.00100687,0.00100687,0.00100687
8,316.607,0.16457,0.96286,1,0.08278,0.000896846,0.000896846,0.000896846
9,355.242,0.14201,0.97429,1,0.07108,0.000786824,0.000786824,0.000786824
10,393.196,0.16792,0.97429,1,0.08342,0.000676802,0.000676802,0.000676802
11,431.353,0.12079,0.98286,1,0.07763,0.00056678,0.00056678,0.00056678
12,469.224,0.14453,0.98571,1,0.04683,0.000456758,0.000456758,0.000456758
13,509.335,0.11283,0.98857,1,0.03843,0.000346736,0.000346736,0.000346736
14,544.913,0.08524,0.98286,1,0.03896,0.000236714,0.000236714,0.000236714
15,580.463,0.09517,0.97429,1,0.04329,0.000126692,0.000126692,0.000126692
