epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.7738,0.45457,0.92,1,0.17119,0.000543038,0.000543038,0.000543038
2,77.241,0.29886,0.82286,1,0.43925,0.00102619,0.00102619,0.00102619
3,113.921,0.32666,0.84571,1,0.32772,0.00143599,0.00143599,0.00143599
4,150.168,0.30105,0.94571,1,0.15119,0.00133693,0.00133693,0.00133693
5,186.055,0.2533,0.96286,1,0.10569,0.00122691,0.00122691,0.00122691
6,222.364,0.22799,0.96,1,0.11915,0.00111689,0.00111689,0.00111689
7,258.385,0.20142,0.96,1,0.11093,0.00100687,0.00100687,0.00100687
8,294.675,0.18207,0.96,1,0.07882,0.000896846,0.000896846,0.000896846
9,330.897,0.1628,0.97143,1,0.05538,0.000786824,0.000786824,0.000786824
10,367.759,0.15162,0.96286,1,0.11031,0.000676802,0.000676802,0.000676802
11,405.151,0.14108,0.97143,1,0.07101,0.00056678,0.00056678,0.00056678
12,441.691,0.13324,0.98286,1,0.05385,0.000456758,0.000456758,0.000456758
13,477.415,0.1073,0.98286,1,0.0462,0.000346736,0.000346736,0.000346736
14,512.865,0.09146,0.98571,1,0.05376,0.000236714,0.000236714,0.000236714
15,548.902,0.10806,0.98857,1,0.03457,0.000126692,0.000126692,0.000126692
